Track Name,Artist Name,Album Name,Disc Number,Track Number,Track_Duration_ms,Added At
Written in the Stars (feat. Eric Turner),"Tinie Tempah, Eric Turner",Disc-Overy,1,7,219560,2015-07-15T22:47:35Z
Keep Your Head Up,Ben Howard,Every Kingdom (Deluxe Version),1,7,264546,2015-07-15T22:51:04Z
How to Save a Life,The Fray,How To Save A Life,1,3,262533,2015-07-15T22:43:30Z
Too Close,Alex Clare,The Lateness Of The Hour,1,4,256613,2015-07-15T22:43:40Z
Pass Out,Tinie Tempah,Disc-Overy,1,3,268053,2015-07-15T22:47:30Z
What You Know,Two Door Cinema Club,Tourist History,1,8,189693,2015-11-21T00:08:38Z
All My Friends,LCD Soundsystem,Sound of Silver,1,5,462266,2020-01-07T23:42:44Z
Revelry,Kings of Leon,Only By The Night,1,6,201733,2018-12-10T15:57:29Z
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",We Are Young (feat. Janelle Monáe),1,1,250626,2017-06-01T09:29:41Z
Bad Day,Daniel Powter,Daniel Powter,1,3,233640,2015-07-15T22:43:14Z
Wake Up,Arcade Fire,Funeral,1,7,335333,2019-10-12T16:47:11Z
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,1,3,175493,2019-05-12T00:21:36Z
Empire State Of Mind,"JAY-Z, Alicia Keys",The Blueprint 3,1,5,276920,2017-01-09T19:05:15Z
Something Good Can Work,Two Door Cinema Club,Tourist History,1,5,162906,2016-06-15T23:29:16Z
R.I.P. 2 My Youth,The Neighbourhood,Wiped Out!,1,11,205280,2016-12-12T18:45:35Z
Ni**as In Paris,"JAY-Z, Kanye West",Watch The Throne (Deluxe),1,3,219333,2017-01-09T19:05:24Z
Amsterdam,Nothing But Thieves,Broken Machine (Deluxe),1,2,272240,2018-04-22T16:21:49Z
Cigarette Daydreams,Cage The Elephant,Melophobia,1,10,208765,2019-09-16T12:43:07Z
Come To,Bombay Bicycle Club,"So Long, See You Tomorrow",1,9,264666,2018-07-28T18:46:46Z
Gecko (Overdrive) - Radio Edit,"Oliver Heldens, Becky Hill",Gecko (Overdrive),1,1,165440,2018-05-13T11:09:51Z
Sheila,Jamie T,Panic Prevention,1,7,259813,2019-01-17T21:07:26Z
"Two Steps, Twice",Foals,Antidotes,1,8,281159,2019-09-26T19:05:48Z
Evening / Morning,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1,3,174946,2019-11-05T18:17:40Z
American Pie,Don McLean,The Best Of Don McLean,1,1,515866,2017-05-08T09:41:01Z
Demons,Imagine Dragons,Night Visions (Deluxe),1,4,175200,2015-07-15T22:45:45Z
Radioactive,Imagine Dragons,Night Visions (Deluxe),1,1,186813,2015-07-15T22:45:42Z
Royals,Lorde,Pure Heroine,1,3,190185,2017-03-10T23:51:15Z
Sleep Alone,Two Door Cinema Club,Beacon,1,6,236440,2016-06-15T23:29:46Z
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",Planet Pit (Deluxe Version),1,2,252306,2015-07-17T11:07:48Z
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,"Swedish House Mafia, Tinie Tempah",Disc-Overy,1,9,206460,2015-07-15T22:47:42Z
Dreaming,Smallpools,Smallpools,1,1,216560,2019-03-11T13:41:28Z
Holy Grail,"JAY-Z, Justin Timberlake",Magna Carta... Holy Grail,1,1,338413,2019-12-06T16:34:14Z
In The Morning,Razorlight,Razorlight,1,1,222946,2017-05-01T17:14:59Z
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),1,7,269000,2019-09-16T12:44:08Z
Luna,Bombay Bicycle Club,"So Long, See You Tomorrow",1,6,190866,2019-12-17T16:00:19Z
Laughter Lines,Bastille,All This Bad Blood,2,7,248040,2015-07-15T22:44:38Z
Pompeii,Bastille,All This Bad Blood,1,1,214147,2015-07-15T22:43:56Z
Bravado,Lorde,Pure Heroine (Extended),1,11,221408,2017-09-13T17:59:48Z
Do I Wanna Know?,Arctic Monkeys,AM,1,1,272394,2016-04-18T21:28:56Z
Taro,alt-J,An Awesome Wave,1,13,305980,2017-12-04T11:06:02Z
Sober,Lorde,Melodrama,1,2,197235,2017-07-10T10:37:24Z
Sober II (Melodrama),Lorde,Melodrama,1,7,178639,2017-07-10T10:37:30Z
My Number,Foals,Holy Fire,1,3,240533,2019-09-15T09:49:37Z
3WW,alt-J,RELAXER,1,1,300106,2018-06-20T09:13:28Z
99 Problems,JAY-Z,The Black Album,1,9,234626,2019-12-04T18:48:52Z
Chelsea Dagger,The Fratellis,Costello Music,1,4,215306,2015-07-15T22:45:27Z
Shake It Out,Florence + The Machine,Ceremonials,1,2,277637,2018-07-16T08:33:19Z
Starboy,"The Weeknd, Daft Punk",Starboy,1,1,230453,2017-03-27T09:29:42Z
Hey There Delilah,Plain White T's,Every Second Counts,1,1,232853,2018-12-18T20:45:11Z
Dog Days Are Over,Florence + The Machine,Lungs (Deluxe Version),1,1,252818,2019-09-04T22:54:22Z
Welcome To The Jungle,"JAY-Z, Kanye West",Watch The Throne (Deluxe),1,8,174133,2019-12-04T23:57:17Z
What Went Down,Foals,What Went Down,1,1,300720,2019-12-17T15:58:13Z
Out of the Black,Royal Blood,Royal Blood,1,1,240572,2020-01-14T13:47:55Z
Haunt - Demo,Bastille,All This Bad Blood,2,3,172706,2015-07-15T22:44:32Z
Fitzpleasure,alt-J,An Awesome Wave,1,10,219400,2017-12-04T11:05:55Z
Glory And Gore,Lorde,Pure Heroine (Extended),1,7,210737,2017-09-13T17:59:55Z
Wisemen,James Blunt,Back to Bedlam,1,3,221773,2015-07-15T22:45:54Z
Coming Home,"Diddy - Dirty Money, Skylar Grey",Last Train To Paris [Deluxe (Explicit Version)],1,18,238773,2018-06-16T22:02:53Z
Kids,MGMT,Oracular Spectacular,1,5,302840,2020-01-21T23:08:21Z
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),1,1,214912,2019-10-16T17:09:02Z
Home By Now,Bombay Bicycle Club,"So Long, See You Tomorrow",1,4,274653,2019-12-17T16:00:06Z
Make This Go On Forever,Snow Patrol,Eyes Open,1,7,345226,2016-03-26T12:46:54Z
In the Backseat,Arcade Fire,Funeral,1,10,380213,2019-10-12T16:47:06Z
Numb / Encore,"JAY-Z, Linkin Park",Collision Course (Deluxe Version),1,4,205280,2019-09-16T12:43:36Z
"Whenever, Wherever",Bombay Bicycle Club,"So Long, See You Tomorrow",1,5,330880,2019-12-17T15:59:52Z
Come A Little Closer,Cage The Elephant,Melophobia,1,2,229346,2019-12-19T23:59:52Z
SICKO MODE,Travis Scott,ASTROWORLD,1,3,312820,2019-12-24T15:33:16Z
The Hills,The Weeknd,Beauty Behind The Madness,1,5,242253,2018-02-16T21:52:43Z
Neighborhood #3 (Power Out),Arcade Fire,Funeral,1,4,312906,2019-12-30T16:02:47Z
Hard To Explain,The Strokes,Is This It,1,8,227733,2020-05-07T19:44:30Z
Invincible,Two Door Cinema Club,Gameshow (Deluxe Edition),1,7,269173,2017-01-08T22:06:43Z
Loose Change,Royal Blood,Royal Blood,1,7,155986,2020-01-14T13:49:20Z
Sweet Disposition,The Temper Trap,Conditions,1,3,234360,2020-04-25T11:31:56Z
Gold on the Ceiling,The Black Keys,El Camino,1,3,224333,2020-05-20T21:14:32Z
Closer,Kings of Leon,Only By The Night,1,1,237480,2020-03-17T15:33:11Z
1901,Phoenix,Wolfgang Amadeus Phoenix,1,2,193120,2020-04-23T13:45:04Z
Optimistic,Radiohead,Kid A,1,6,315973,2020-03-21T16:52:06Z
She Said,Plan B,The Defamation of Strickland Banks,1,4,208853,2016-07-16T23:35:20Z
Worried About Ray,The Hoosiers,The Trick To Life,1,1,166786,2015-10-29T23:59:04Z
"Hell, Yeah",Nothing But Thieves,Broken Machine (Deluxe),1,10,186600,2020-03-13T14:11:19Z
This Is The Life,Amy Macdonald,This Is The Life (eDeluxe),1,2,184413,2019-12-17T16:10:09Z
Hanging,Nothing But Thieves,Nothing But Thieves (Deluxe),1,14,231440,2020-04-23T13:55:31Z
Nancy Boy,Placebo,Placebo,1,6,210933,2020-03-14T18:41:18Z
T-Shirt Weather,Circa Waves,Young Chasers (Deluxe),1,2,194288,2020-04-07T12:04:42Z
Telescope,Cage The Elephant,Melophobia,1,3,228295,2020-04-27T10:00:59Z
"Eat That Up, Its Good For You",Two Door Cinema Club,Tourist History,1,9,225426,2020-05-28T00:05:55Z
Soda,Nothing But Thieves,Broken Machine (Deluxe),1,6,236306,2020-04-23T13:55:11Z
British Bombs,Declan McKenna,British Bombs,1,1,297714,2020-04-11T00:19:13Z
It Was Always You,Maroon 5,V (Deluxe),1,3,239920,2015-07-15T22:46:37Z
Unclear,Kodaline,Coming Up for Air (Expanded Edition),1,5,265773,2020-02-05T21:38:25Z
How To Disappear Completely,Radiohead,Kid A,1,4,356333,2020-05-28T23:25:33Z
One More Light,Linkin Park,One More Light,1,9,255066,2020-06-19T23:40:57Z
