Track_Name,Artist_Name,Album_Name,Disc_Number,Track_Number,Track_Duration_(ms),Added_At
Neptune,Foals,Part 2 Everything Not Saved Will Be Lost,1,10,618427,2019-10-19T14:32:41Z
Runaway,"Kanye West, Pusha T",My Beautiful Dark Twisted Fantasy,1,9,547733,2019-09-05T14:13:14Z
Dance Yrself Clean,LCD Soundsystem,This Is Happening,1,1,536471,2019-12-30T11:53:15Z
Under The Pressure,The War On Drugs,Lost In The Dream,1,1,532306,2020-01-31T17:54:43Z
American Pie,Don McLean,The Best Of Don McLean,1,1,515866,2019-04-25T18:11:58Z
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),1,9,484146,2019-04-25T18:11:58Z
Let It Happen,Tame Impala,Currents,1,1,467586,2019-08-12T17:22:13Z
All My Friends,LCD Soundsystem,Sound Of Silver,1,5,462266,2019-12-17T14:18:14Z
Champagne Supernova,Oasis,(What's the Story) Morning Glory?,1,12,450506,2019-04-25T18:32:43Z
One More Hour,Tame Impala,The Slow Rush,1,12,432560,2020-04-09T14:55:09Z
An Ocean In Between The Waves,The War On Drugs,Lost In The Dream,1,4,431746,2020-01-31T18:07:48Z
A Boat To An Island On The Wall,Ben Howard,A Boat To An Island On The Wall,1,1,430306,2019-04-25T18:13:07Z
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),1,21,425653,2019-08-12T14:56:33Z
Should Be True,Phaeleh,The Cold In You,1,7,419782,2019-04-25T18:54:49Z
A Knife in the Ocean,Foals,What Went Down,1,10,412826,2019-04-25T18:21:38Z
Greyhound,Swedish House Mafia,Until Now,1,1,410096,2019-04-25T18:48:55Z
Spanish Sahara,Foals,Total Life Forever,1,5,409560,2019-07-28T16:20:50Z
Paradise City,Guns N' Roses,Appetite For Destruction,1,6,405640,2019-07-05T12:03:45Z
Nica Libres At Dusk,Ben Howard,Noonday Dream,1,1,394320,2019-12-20T16:37:11Z
One Day Like This,Elbow,The Seldom Seen Kid,1,10,394173,2019-05-12T21:20:47Z
Shout,Tears For Fears,Songs From The Big Chair,1,1,393666,2019-04-25T20:28:59Z
Who Is It,Michael Jackson,Dangerous,1,9,393306,2019-04-25T18:29:14Z
Freedom! '90 - Remastered,George Michael,Listen Without Prejudice / MTV Unplugged (Deluxe),1,2,390861,2019-09-05T13:29:15Z
Baby Came Home 2 / Valentines,The Neighbourhood,Wiped Out!,1,7,390493,2019-09-16T11:03:00Z
Someone Great,LCD Soundsystem,Sound Of Silver,1,4,390013,2019-12-01T13:13:59Z
Paranoid Android,Radiohead,OK Computer,1,2,387213,2020-04-04T19:33:53Z
Black Gold,Foals,Total Life Forever,1,4,386333,2019-08-12T13:54:43Z
